,title,author,pubyear,first_published,txtype
0,Dáma v jezeře,"Chandler, Raymond",1992,1965,NOV
1,Pražská ekloga,"Kovtun, Jiří",1992,1973,NOV
2,Planeta lykantů,"Garen, Jean Pierre",1992,1992,NOV
3,Fiesta,"Hemingway, Ernest",1992,1966,NOV
4,Píseň o lítosti,"Fischl, Viktor",1992,1982,NOV
5,Matka Noc,"Vonnegut, Kurt Jr.",1992,1992,NOV
6,Uprostřed nocí zpěv,"Kratochvil, Jiří",1992,1992,NOV
7,Okarína do re mi,"Hovorka, Jan",1992,1992,NOV
8,Muž v jiných končinách světa,"Vávra, Vladimír",1992,1992,NOV
9,Prostor k rozlišení,"Linhartová, Věra",1992,1964,NOV
10,Dřevěná lžíce,"Weil, Jiří",1992,1992,NOV
11,Zeď,"Sartre, Jean-Paul",1992,1965,NOV
12,Druhé město,"Ajvaz, Michal",1993,1993,NOV
13,Blízký konec,"Cook, Robin",1993,1993,NOV
14,Děs,"Hubbard, L. Ron",1993,1993,NOV
15,Čarodějky z Eastwicku,"Updike, John",1993,1993,NOV
16,Vekslák 2,"Frýbort, Pavel",1993,1993,NOV
17,Zaříkávání duchů,"Krentzová, Jayne Ann",1993,1993,NOV
18,Muž od vedle,"Halston, Carol",1993,1993,NOV
19,Koření lásky,"Clareová, Kathrin",1993,1993,NOV
20,Láska na první pousmání,"Buck, Carole",1993,1993,NOV
21,Manželství z rozumu,"Leclaire, Day",1993,1993,NOV
22,Past na princeznu,"Seger, Maura",1993,1993,NOV
23,Námluvy po texasku,"Broadrick, Annette",1993,1993,NOV
24,Čínský drak,"Grym, Pavel",1993,1993,NOV
25,Obsluhoval jsem anglického krále,"Hrabal, Bohumil",1993,1993,NOV
26,Kulatý svět,"Pekárková, Iva",1993,1993,NOV
27,Zostření paměti po úrazu,"Bílý, Jaroslav",1993,1993,NOV
28,Hořké zrání Adriana Molea,"Townsendová, Sue",1994,1994,NOV
29,Zlaté brejličky,"Bassani, Giorgio",1994,1994,NOV
30,Čest a sláva,"Michal, Karel",1994,1966,NOV
31,Gypsová dáma,"Michal, Karel",1994,1967,NOV
32,Pražské hyeny,"Verner, Pavel",1994,1994,NOV
33,Kde život náš je v půli se svou poutí,"Jedlička, Josef",1994,1966,NOV
34,Komandant,"Macura, Vladimír",1994,1994,NOV
35,Myši Natálie Mooshabrové,"Fuks, Ladislav",1994,1970,NOV
36,O myších a lidech,"Steinbeck, John",1994,1946,NOV
37,Pěna dní,"Vian, Boris",1994,1967,NOV
38,Piksla červů,"Chase, James Hadley",1994,1994,NOV
39,Ryby,"Dostál, Zeno",1994,1994,NOV
40,Smileyho lidé,"Le Carré, John",1994,1994,NOV
41,Avion,"Kratochvil, Jiří",1995,1995,NOV
42,Noční plavba,"Higgins, Jack",1995,1995,NOV
43,Ohyzdný duch,"Burroughs, William Seward",1995,1995,NOV
44,Orbita,"Block, Thomas",1995,1995,NOV
45,Pasáž,"Pecka, Karel",1995,1976,NOV
46,Poly a tajemství sedmi hvězd,"Aubryová, Cecile",1995,1995,NOV
47,Prázdniny v Londýně,"Brandon, Ann",1995,1995,NOV
48,Přímý přenos z Golgoty,"Vidal, Gore",1995,1995,NOV
49,Pan Kaplan má stále třídu rád,"Rosten, Leo Calvin",1995,1987,NOV
50,Tak pravil Švejk,"Vokolek, Vladimír",1995,1995,NOV
51,"Běž, kam tě srdce povede","Tamarová, Susanna",1995,1995,NOV
52,Klíč je pod rohožkou,"Třešňák, Vlastimil",1995,1995,NOV
53,Zlověstné kameny,"Upfield, Arthur",1995,1977,NOV
54,Vražedný lék,"Sheperdová, Stella",1995,1995,NOV
55,Zázrak svaté Winifredy,"Pargeterová, Edith",1995,1995,NOV
56,Ze zoufalství,"Morrell, David",1995,1995,NOV
57,Čtvrtý anděl,"Hunter, Robin",1996,1996,NOV
58,Číča,"Mikes, George",1996,1996,NOV
59,Kouřová clona,"Francis, Dick",1996,1996,NOV
60,Fantom chrámu,"Gulik, Robert Hans van",1996,1996,NOV
61,Jana z Arku,"Moinot, Pierre",1996,1996,NOV
62,Jmenuji se Ašer Lev,"Potok, Chaim",1996,1996,NOV
63,Katčiny sliby,"Krauss, Irma",1996,1996,NOV
