,title,author,pubyear,first_published,txtype,id,pubyear_syn,first_published_syn,txtype_syn
0,Veletrh splněných přání,"Páral, Vladimír",2001,2001,NOV,veletrh,1964,1964,NOV
1,Lovci kožišin,"Flos, František",1997,1934,NOV,flos_iv,1987,1934,NOV
2,Dáma v jezeře,"Chandler, Raymond",1992,1965,NOV,damavjez,1992,1965,NOV
3,Pražská ekloga,"Kovtun, Jiří",1992,1973,NOV,ekl,1992,1973,NOV
4,Planeta lykantů,"Garen, Jean Pierre",1992,1992,NOV,garen3,1992,1992,NOV
5,Fiesta,"Hemingway, Ernest",1992,1966,NOV,hemingw2,1992,1966,NOV
6,Příběh inženýra lidských duší II,"Škvorecký, Josef",1992,1977,NOV,ing,1992,1977,NOV
7,Píseň o lítosti,"Fischl, Viktor",1992,1982,NOV,lit,1992,1982,NOV
8,Matka Noc,"Vonnegut, Kurt Jr.",1992,1992,NOV,matknoc,1992,1992,NOV
9,Uprostřed nocí zpěv,"Kratochvil, Jiří",1992,1992,NOV,noc,1992,1992,NOV
10,Otcem proti své vůli,"Palmer, Diana",1995,1992,NOV,otcem,1992,1992,NOV
11,Okarína do re mi,"Hovorka, Jan",1992,1992,NOV,pi199,1992,1992,NOV
12,Muž v jiných končinách světa,"Vávra, Vladimír",1992,1992,NOV,pi223,1992,1992,NOV
13,Do Chelsea už nikdy,"Orenstein, Frank",1992,X,NOV,poirot11,1992,1992,NOV
14,Prostor k rozlišení,"Linhartová, Věra",1992,1964,NOV,prostor,1992,1964,NOV
15,Jonathan Livingston Racek,"Bach, Richard David",1992,1992,COL,racek,1992,1984,NOV
16,V kruhu prvním II,"Solženicyn, Alexandr Isajevič",1992,1992,NOV,solzen2,1992,1992,NOV
17,Dřevěná lžíce,"Weil, Jiří",1992,1992,NOV,weil,1992,1992,NOV
18,Zeď,"Sartre, Jean-Paul",1992,1965,NOV,zed,1992,1965,NOV
19,Druhé město,"Ajvaz, Michal",1993,1993,NOV,ajvaz,1993,1993,NOV
20,Blízký konec,"Cook, Robin",1993,1993,NOV,cook,1993,1993,NOV
21,Děs,"Hubbard, L. Ron",1993,1993,NOV,des,1993,1993,NOV
22,Spasitel duny,"Herbert, Frank",1993,1993,NOV,duna,1993,1993,NOV
23,Čarodějky z Eastwicku,"Updike, John",1993,1993,NOV,eastwick,1993,1993,NOV
24,Vekslák 2,"Frýbort, Pavel",1993,1993,NOV,frybort2,1993,1993,NOV
25,Zaříkávání duchů,"Krentzová, Jayne Ann",1993,1993,NOV,ghost,1993,1993,NOV
26,Muž od vedle,"Halston, Carol",1993,1993,NOV,halston,1993,1993,NOV
27,Koření lásky,"Clareová, Kathrin",1993,1993,NOV,hotstuf,1993,1993,NOV
28,Láska na první pousmání,"Buck, Carole",1993,1993,NOV,knight,1993,1993,NOV
29,Manželství z rozumu,"Leclaire, Day",1993,1993,NOV,manze,1993,1993,NOV
30,Nevěsta,"Horthon, Noemi",1993,1993,NOV,mcconne,1993,1993,NOV
31,Past na princeznu,"Seger, Maura",1993,1993,NOV,mcgee,1993,1993,NOV
32,Námluvy po texasku,"Broadrick, Annette",1993,1993,NOV,namluvy,1993,1993,NOV
33,Čínský drak,"Grym, Pavel",1993,1993,NOV,pi198,1993,1993,NOV
34,Obsluhoval jsem anglického krále,"Hrabal, Bohumil",1993,1993,NOV,pi225,1993,1993,NOV
35,Kulatý svět,"Pekárková, Iva",1993,1993,NOV,svet,1993,1993,NOV
36,Utrpení oddaného Všiváka,"Berková, Alexandra",1993,1993,COL,utroddvs,1993,1993,NOV
37,Zostření paměti po úrazu,"Bílý, Jaroslav",1993,1993,NOV,zostreni,1993,1993,NOV
38,Hořké zrání Adriana Molea,"Townsendová, Sue",1994,1994,NOV,adrianmo,1994,1994,NOV
39,Arabela III,"Macourek, Miloš - Franková, Hermina",1994,1994,NOV,arabela,1994,1994,NOV
40,Zlaté brejličky,"Bassani, Giorgio",1994,1994,NOV,bassani,1994,1994,NOV
41,Čest a sláva,"Michal, Karel",1994,1966,NOV,cestasla,1994,1966,NOV
42,Filosofující kočka z Pembroke,"Davis, Philip J.",1995,1994,NOV,filkozpe,1994,1994,NOV
43,F jako finta,"Grafton, Sue",1997,1994,NOV,graftonf,1994,1994,NOV
44,Gypsová dáma,"Michal, Karel",1994,1967,NOV,gyps,1994,1967,NOV
45,Pražské hyeny,"Verner, Pavel",1994,1994,NOV,hyeny,1994,1994,NOV
46,Kde život náš je v půli se svou poutí,"Jedlička, Josef",1994,1966,NOV,jedlicka,1994,1966,NOV
47,Kolíbka,"Vonnegut, Kurt",1994,1994,NOV,kolibka,1994,1976,NOV
48,Komandant,"Macura, Vladimír",1994,1994,NOV,komandan,1994,1994,NOV
49,Myši Natálie Mooshabrové,"Fuks, Ladislav",1994,1970,NOV,mysi_nm,1994,1970,NOV
50,O myších a lidech,"Steinbeck, John",1994,1946,NOV,o_mysich,1994,1946,NOV
51,Pěna dní,"Vian, Boris",1994,1967,NOV,penadni,1994,1967,NOV
52,Piksla červů,"Chase, James Hadley",1994,1994,NOV,piksljhc,1994,1994,NOV
53,Ryby,"Dostál, Zeno",1994,1994,NOV,ryby,1994,1994,NOV
54,Smileyho lidé,"Le Carré, John",1994,1994,NOV,smilide,1994,1994,NOV
55,Pobřežní hlídka - Záliv Tequila,"Robinson, Nigel",1994,1994,NOV,zalivteq,1994,1994,NOV
56,Avion,"Kratochvil, Jiří",1995,1995,NOV,avion,1995,1995,NOV
57,Basket Flora,"Pelc, Jan",1995,1995,COL,baskflor,1995,1995,NOV
58,Bílé břízy na podzim,"Lustig, Arnošt",1995,1995,NOV,brizy,1995,1966,NOV
59,Dar,"Steelová, Danielle",1995,1994,NOV,dar,1995,1995,NOV
60,Lví král,"Ferguson, Don",1994,1995,NOV,lvi,1995,1995,NOV
61,Příběh se závorkami (Alternativy),"Machonin, Sergej",1995,1995,FAC,machonin,1995,1995,NOV
62,Noční plavba,"Higgins, Jack",1995,1995,NOV,nocplajh,1995,1995,NOV
63,Ohyzdný duch,"Burroughs, William Seward",1995,1995,NOV,ohyzduch,1995,1995,NOV
64,Orbita,"Block, Thomas",1995,1995,NOV,orbita,1995,1995,NOV
65,Pasáž,"Pecka, Karel",1995,1976,NOV,pasaz,1995,1976,NOV
66,Poly a tajemství sedmi hvězd,"Aubryová, Cecile",1995,1995,NOV,poly,1995,1995,NOV
67,Prázdniny v Londýně,"Brandon, Ann",1995,1995,NOV,prazdvlo,1995,1995,NOV
68,Přímý přenos z Golgoty,"Vidal, Gore",1995,1995,NOV,primprzg,1995,1995,NOV
69,Pan Kaplan má stále třídu rád,"Rosten, Leo Calvin",1995,1987,NOV,rosten2,1995,1987,NOV
70,Šaman,"Gordon, Noah",1996,1995,POP,saman,1995,1995,NOV
71,Tak pravil Švejk,"Vokolek, Vladimír",1995,1995,NOV,svejkprv,1995,1995,NOV
